year,title,abstract,chars,category
2024,고성능 트랜잭션 처리를 위한 확장 가능한 상태 기계 복제,"상태 기계 복제(SMR: State Machine Replication)는 결함 감내를 제공할 수 있는 기술로 잘 알려져 있다. 클라이언트의 요청이 같은 순서로 정렬되어 복제들에서 실행되도록 하고, 결정적 알고리즘의 실행 결과로 모든 정상 복제는 각 요청을 실행하고 나면 같은 상태에 이르게 된다. 그런데 SMR에는 확장성이 없다. 즉, 복제의 수가 늘어나더라도 처리량은 늘어나지 않는다. 이 논문에서는 전체 시스템의 성능을 제고할 수 있는 확장 가능한 SMR 프로토콜을 제안한다. 지리적으로 분산되어 있는 클라이언트와 복제들의 데이터 액세스 특성을 고려해서 전체 시스템을 여러 개의 파티션으로 분할한다. 각 파티션마다 클라이언트 요청의 순서를 결정하는 리더를 둔다. 액세스해야 하는 데이터가 상충하지 않는다면 두 개 이상의 트랜잭션이 동시에 처리되게 하는 것이다. 과반의 동의를 얻은 리더의 강력한 강제 쓰기를 근간으로 하는 Raft 알고리즘을 확장하여 구현한 테스트베드 상에서의 실험을 통하여 효용성을 입증하였다. 기존의 접근 방식과 비교하여 데이터의 지역성에 따라 트랜잭션 처리 응답 시간을 줄일 수 있음을 확인할 수 있었다.",577,연구
2024,특수목적영어(ESP) 분야에서의 쓰기 연구,"This study aims to concisely explore the fundamental concepts and methodologies pertinent to writing instruction within the field of English for Specific Purposes (ESP). It assesses current trends in writing research, practical elements of writing instruction, and prospective future developments. The literature review clarifies the definition of writing in the context of ESP, alongside various approaches to writing research in ESP, encompassing textual, contextual, and critical studies. The study delineates various genres within ESP writing research, such as academic and professional written genres, and different types of instruction including text-based, content based, and consciousness-raising approaches. The study emphasizes the importance of adaptive teaching techniques to enhance learner engagement and deepen content understanding. It also suggests incorporating digital and multimedia literacies into teaching practices that address both traditional and emerging genres, enhancing learners' engagement and critical understanding of content, so that they can adapt to global communication demands. Ultimately, the study proposes a comprehensive framework for ESP writing education aimed at equipping educators and learners with skills necessary for professional success, ensuring that ESP instruction continues to be relevant and effective for students' professional success.",1392,연구
2024,착용형 증강현실 기반 체험형 콘텐츠 연구: AR 돌탑 콘텐츠를 중심으로,"본 논문은 착용형 증강현실(Augmented Reality, AR) 기반 체험형 콘텐츠인 AR 돌탑 콘텐츠를 제안한다. 착용할 수 있는 형태의 증강현실이 주목받고 있음에도 불구하고 기술 수용은 산업현장 등 특수한 목적으로의 응용이 집중적으로 개발되고 있는 현황이다. 반면 제안한 AR 돌탑 콘텐츠는 일반 사용자들이 공감하고 쉽게 참여할 수 있도록 ‘돌탑’ 소재를 바탕으로 하고 있으며, 이동 환경에서 공간을 활용하고 자연스러운 손 제스처를 바탕으로 돌을 찾고 쌓을 수 있도록 구성하였다. 제안한 AR 돌탑 콘텐츠는 HoloLens 2 환경에서 구현되었으며 소규모 미술관에서 파일럿 전시를 통해 일반 사용자를 대상으로 평가를 수행하였다. 평가 결과 콘텐츠에 대한 전반적인 만족도는 평균 3.85로 나타났으며, 돌탑 소재에 대한 콘텐츠 적절성은 4.15로 매우 높게 나타났다. 특히, 그중에서도 콘텐츠 이해도와 사운드에 대한 만족도는 높게 나타났으나, 객체인지와 신체 적응도 및 객체 컨트롤에서 다소 낮은 만족도를 보였다. 위와 같은 사용자 평가를 통해 소재에 대한 공감대와 긍정적인 반응을 확인하고, 착용형 AR 환경에서의 체험과 상호작용에서의 일반 사용자의 어려움을 확인하였다.",603,연구
2024,디지털 리터러시 향상을 위한 ChatGPT 응답의 언어적 특성 분석: 코퍼스 연구,"This study explores the interaction between the lexical and syntactic features of the language generated by ChatGPT with a view to learners’ digital literacy skills. The research aims to determine how ChatGPT’s responses, tailored through user prompting, can adjust complexity and vocabulary levels to suit the educational needs of middle and high school students. The study reveals that ChatGPT can modify its output from a higher vocabulary level (5K) to a more manageable level (3K), aligning with the comprehension levels typical of secondary education texts. Additionally, the analysis of syntactic features such as sentence length and readability scores (FKGL) shows that while ChatGPT maintains consistent lexical diversity and average word length, it effectively reduces sentence complexity in response to simplified user prompts. These findings suggest that ChatGPT can significantly enhance digital literacy by providing tailored educational content. This study contributes to understanding AI in educational contexts, highlighting the importance of precise user interactions to optimize learning outcomes and suggesting a potential shift in pedagogical strategies to incorporate AI tools effectively.",1211,연구
2024,Study on the Antioxidant and Whitening Effects of Rutin as a Cosmetic Ingredient,"This study investigated the potential of rutin, a flavonoid, as an antioxidant and whitening functional cosmetic ingredient. The study results are as follows: Cytotoxicity experiments using RAW 264.7 macrophages showed no significant cytotoxicity at all tested concentrations, suggesting its safety for skin application. In vitro experiments on DPPH radical scavenging activity revealed a significant dose-dependent increase, with over 14% antioxidant activity observed at 50 μg/mL. Intracellular antioxidant activity was demonstrated by measuring ROS inhibition in macrophages, with a maximum inhibition of 27% at 100 μ g/mL. Rutin also exhibited dose-dependent inhibition of tyrosinase activity, achieving a 16% inhibition at 100 μg/mL. In conclusion, rutin shows promise as an effective raw material for the development of cosmetics related to antioxidant and whitening functions.",883,연구
2024,K-Pop 음반 유통방식 및 수요양상 변화에 따른 아티스트 편중 현상 및 개선 방안 연구,"본 연구는 케이팝 아이돌 피지컬 앨범의 유통구조와 이에 따른 팬덤의 수용적 특징에 의한 앨범 차트 내 아티스트 편중 현상을 조명하고, 이를 개선하기 위한 방안을 제시하고자 한다. 현재 국내 음악시장은 케이팝 아이돌 음악산업이 주가 됨에 따라 비주류 음악의 경우 유통 및 홍보를 할 수 있는 콘텐츠 및 플랫폼의 다변화가 시급하다. 이를 위해 선행연구를 기반으로 음악 소비 방식의 변화와 이로 인한 음반산업의 변화 양상을 고찰하고, 써클차트 음반 판매량 분석을 통해 아티스트 편중 현상을 조명하고자 한다. 이후, 신진예술인 실태조사에 따른 예술 활동 단절 사례 분석을 통해 정책 개선의 요구와 대안, 그리고 정책 마련의 필요성을 제시한다. 본 연구를 통해 기술의 발전에 따른 음반 유통의 변화로 케이팝 아이돌의 피지컬 앨범은 랜덤 포토카드, 팬싸인회 응모권 등 부가 상품을 결합하여 유통되고 있으며, 앨범 구성 상세 설명의 미제공 문제와 음반 과소비 문제에 대한 대책 마련의 시급함을 확인할 수 있었다. 이러한 케이팝 음반 유통 과정으로 인해 아이돌 편중 현상이 심화되고 있음을 확인할 수 있었다. 또한, 예술 활동 경력 단절 경험의 수치가 매우 높은 것으로 집계된 예술인 실태조사를 근거로, 국내 음반시장이 케이팝 아이돌로 편중됨에 따라 비주류 음악 아티스트의 유통 및 홍보, 콘텐츠 등 예술 활동 환경의 변화와 개선책 마련이 시급함을 확인할 수 있었다. 본 연구는 케이팝 아이돌 산업에 치중되어있는 국내 음악시장의 문제점을 지적하고 대중음악 예술인의 활동 환경 조성에 도움이 될 수 있는 정책 제안의 근거 자료로써 의의를 지닌다.",800,연구
2024,미디어 환경 변화에 따른 영화와 OTT시리즈 서사기법 연구: 영화 <웃는 남자>와 OTT 시리즈 <마스크걸>의 비교 분석,"This paper examines the evolution of narrative structures in storytelling, focusing on the interplay between character-driven narratives and media-specific formats. Using The Man Who Laughs—a traditional feature-length film—and Mask Girl—a modern OTT series—as case studies, the analysis highlights how differences in character arcs influence and shape narrative structures that align with the unique demands of their respective media. The study begins by exploring the character of Gwynplaine in The Man Who Laughs, whose singular and linear arc reflects the traditional three-act structure of classic cinema. The film's concise format prioritizes thematic clarity and emotional intensity, adhering to the requirements of the theatrical medium. In contrast, Mask Girl utilizes a non-linear, episodic structure characteristic of OTT platforms, leveraging its extended runtime and multiple character perspectives to explore contemporary themes such as identity, societal beauty standards, and the psychological implications of social media. By comparing these two works, the paper underscores how narrative techniques adapt to audience behavior and technological advancements. The cinematic medium emphasizes brevity and symbolic storytelling, while the digital OTT format allows for layered narratives and prolonged character development. The study also discusses the cultural and thematic relevance of these works, highlighting their critique of societal norms and their reflections on the human condition. This research contributes to understanding how storytelling evolves across media platforms and offers insights for creators and scholars into crafting narratives that resonate with diverse audiences in an ever-changing media landscape. By bridging traditional and modern techniques, this paper demonstrates the dynamic relationship between character, structure, and medium in contemporary storytelling.",1910,연구
2024,Experiential Religion of English Puritanism and Its Preaching Theology and Method 영국 청교도의 경험적 신앙과 설교 신학과 방법론에 관한 연구,"The best way to define and understand English Puritanism is to approach with a view point of a movement, a spirit, a mindset or an attitude as a broad but convincing continuity found in Puritanism. The most significant coherence of English Puritanism is its emphasis on “a profound religious experience.” For Puritans, the religious experience is that in which one “encounters in an existential way God’s wrath and God’s redemptive love.” It is the key with which to understand the Puritan movement, even though its development was not only complicated but multi-faceted in its historical context. Shortly, English Puritanism was a movement to awaken spiritually nominal Christians, lukewarm churches, and even the nation, seeking profound religious experience by the work of the Holy Spirit through the Word of God, especially preaching ministry. Puritans’ emphasis on a religious experience resulted in the prominent development of the doctrine of assurance of salvation. Particularly, the English Puritans of the Spiritual Brotherhood such as Richard Greenham, William Perkins, Richard Sibbes, and Thomas Goodwin, contributed to the advancement of the doctrine. All four of them represent “traditional Puritan experimental spirituality,” emphasizing the heartfelt element as the essence of a true piety. Preaching, Puritans believed, is God’s ordained way so as to gather the elect from the world and to build up their faith as the body of Christ. The theology and method of Puritan preaching can be summarized as follows: the primacy of preaching, expository in its method and doctrinal in its content, the supremacy of intellect and much emphasis on application, and relying on dignified simplicity rather than eloquence. It can be arguable that Puritans’ deep concern for promoting vital religious experience in the minds and hearts of listeners forms the heart of the continuity that connects their preaching theologies and methods.",1939,연구
2024,世界 華僑企業家의 네트워크에 관한 硏究,"During the colonial period and after World War II, the systematic rejection of Chinese and overseas Chinese by the colonial authorities and the local indigenous people of the countries of residence and the large-scale persecution of Chinese people became the main internal factors in the development of the overseas Chinese network. After the 1950s, the scale of overseas Chinese business management began to expand continuously in line with the economic development of Southeast Asia. In addition, the network of overseas Chinese also developed into more diverse forms. By the 1970s, the huge profits from the management performance of multinational corporations formed by overseas Chinese and overseas Chinese capital in some countries of Southeast Asia had already begun to appear in a very clear form. Such management performance of overseas Chinese and overseas Chinese capital showed a trend of further accelerated development in the 1980s and 1990s. The above-mentioned overseas Chinese network can be said to be based on the human relationships and cultural sharing networks that the Chinese people traditionally value. In fact, when mankind did not know what the Internet was through computers, the overseas Chinese network, which is a network of relationships between people, was already providing considerable help to the communication and commercial exchange of overseas Chinese and overseas Chinese people scattered around the world.",1446,연구
2024,중국의 탄소중립정책 리스트 분석 연구 ―2022～2024년 ‘탄소중립 정책 제도’를 중심으로,中國碳中和政策的現狀反映出中國正在全面追求並積極落實碳達峰和碳中和目標。自2021年以來，中國政府採取了一系列措施來實現和推進碳中和目標，包括完善政策體系、實施生態低碳先進技術試點、加速創新和推進生態技術應用等。推廣應用碳達峰、碳中和技術、建立碳達峰試點等措施，改善生態低碳支持政策，並不斷完善有利於綠色發展的財稅、投資、金融、價格政策，推動綠色發展。綠色電力等市場驅動機制。 綜觀2022年至2024年上半年發布的碳中和政策，「從全面宣布2022年實現碳中和是國家任務，到2023年實現碳中和相關的前沿技術和產業，並在2024年、2022年和2023年可以說是「為2011年提出的政策建立法律基礎」。 2025年後中國的碳中和政策清單包括驗證條例規定的實現目標（例如《建立碳足跡管理體系的實施方案》中提出的2027年和2030年實現目標）是否實現的內容和政策。法律的提出不足以實現這個目標。,396,연구
