trigram,freq
인공_지능_기술,217
생성_인공_지능,170
인공_지능_교육,157
인공_지능_활용,114
인공_지능_대하다,99
있다_인공_지능,86
연구_인공_지능,86
인공_지능_시대,71
인공_지능_시스템,59
위하다_인공_지능,59
인공_지능_활용하다,59
인공_지능_윤리,53
인공_지능_융합,52
인공_지능_관련,45
인공_지능_기반,41
인공_지능_인간,40
통하다_인공_지능,36
분야_인공_지능,33
인공_지능_학습,33
논문_인공_지능,30
인공_지능_발전,29
인공_지능_예술,28
영역_인공_지능,27
지능_교육_프로그램,27
지능_융합_교육,26
인공_지능_로봇,26
하다_인공_지능,25
인공_지능_모델,24
결과_인공_지능,24
교육_인공_지능,23
인공_지능_산출,23
인공_지능_생성,22
지능_산출_물,22
인공_지능_수학,22
대상_인공_지능,21
교사_인공_지능,20
학생_인공_지능,20
인공_지능_법,20
필요_인공_지능,18
따르다_인공_지능,18
교육_프로그램_개발하다,18
인공_지능_서비스,18
인공_지능_산업,17
인공_지능_인하다,17
나타나다_인공_지능,17
긍정_영향_미치다,16
결과_다음_같다,16
되다_인공_지능,16
개인_정보_보호,16
분석하다_연구_결과,16
