group,rank,term,mean_tfidf
연구,1,중국,0.002986738784294966
연구,2,연구,0.0026926070028020135
연구,3,의미,0.002588815056688994
연구,4,있다,0.0025119548037646437
연구,5,평가,0.002235809556734596
연구,6,달팽이,0.0022323500329699255
연구,7,주제어,0.0020833333333333333
연구,8,열다,0.0020833333333333333
연구,9,브랜드,0.0018986989515007604
연구,10,이동,0.0017977952700144267
인공지능,1,지능,0.12223842719915637
인공지능,2,인공,0.12075709499057417
인공지능,3,교육,0.06433658971173377
인공지능,4,연구,0.05618423664221757
인공지능,5,있다,0.053964107284502454
인공지능,6,대하다,0.04609402465761413
인공지능,7,기술,0.04259904334726904
인공지능,8,위하다,0.03703017218844189
인공지능,9,생성,0.03031945360512532
인공지능,10,활용,0.027436949268880628
